"","A","B","C","D","E"
"198","c","c","a","c","c"
"199","a","a","a","a","a"
"200","b","a","a","c","b"
"201","a","a","a","a","a"
"202","a","a","b","c","b"
"203","b","a","a","b","c"
"204","c","b","b","a","b"
"205","b","a","b","a","a"
"206","a","a","a","a","a"
"207","a","a","a","a","a"
"208","b","c","a","b","b"
"209","a","a","a","a","b"
"210","c","c","a","b","c"
"211","b","c","a","c","c"
"212","c","b","a","c","b"
"213","c","c","a","b","b"
"214","c","c","a","c","b"
"215","c","c","b","b","a"
"216","c","a","a","c","a"
"217","b","c","b","a","a"
"218","c","c","b","c","c"
"219","b","b","a","b","a"
"220","b","c","b","a","b"
"221","b","b","a","b","c"
"222","c","b","a","c","c"
"223","b","b","c","a","c"
"224","a","a","a","a","a"
"225","c","c","c","b","a"
"226","b","b","a","b","c"
"227","a","a","a","a","a"
"228","a","a","a","a","a"
"229","c","c","a","c","a"
"230","a","c","b","c","c"
"231","a","a","a","a","b"
"232","a","a","a","a","a"
"233","c","c","a","a","a"
"234","a","a","b","c","a"
"235","a","b","c","b","c"
"236","b","c","b","a","c"
"237","c","c","c","c","c"
"238","b","a","a","a","b"
"239","b","c","a","b","c"
"240","a","a","a","a","a"
"241","c","c","a","c","b"
"242","b","b","a","b","b"
"243","c","c","a","b","c"
"244","a","a","a","b","b"
"245","c","c","a","c","a"
"246","b","a","b","a","b"
"247","c","c","b","c","a"
"248","a","a","a","a","a"
"249","c","c","a","c","c"
"250","c","c","a","c","c"
"251","c","c","a","c","b"
"252","a","a","a","a","a"
"253","a","a","a","b","a"
"254","a","a","a","b","c"
"255","c","c","a","a","c"
"256","c","c","a","c","c"
"257","c","c","b","c","b"
"258","a","a","a","a","a"
"259","b","b","a","b","b"
"260","c","b","a","c","c"
"261","b","a","a","b","a"
"262","b","a","b","a","a"
"263","c","b","a","b","b"
"264","a","a","a","b","b"
"265","c","c","b","b","b"
"266","a","a","a","b","b"
"267","a","a","a","a","a"
"268","b","a","a","b","b"
"269","b","c","a","b","b"
"270","c","c","a","b","c"
"271","c","c","a","c","c"
"272","c","c","a","c","b"
"273","a","a","a","a","a"
"274","b","a","b","a","a"
"275","b","b","b","a","b"
"276","c","c","a","b","a"
"277","a","a","c","c","b"
"278","c","c","a","c","b"
"279","a","a","a","c","b"
"280","b","a","a","b","c"
"281","b","a","a","b","a"
"282","b","a","a","b","a"
"283","c","c","b","b","c"
"284","b","a","a","b","a"
"285","a","a","a","a","a"
"286","c","b","a","c","c"
"287","c","c","a","c","b"
"288","b","a","a","b","b"
"289","b","a","a","b","c"
"290","b","a","a","b","a"
"291","c","c","b","a","c"
"292","b","b","b","a","c"
"293","b","b","b","a","c"
"294","c","a","a","c","a"
"295","b","c","a","b","a"
"296","a","a","a","a","a"
"297","a","a","b","b","a"
"298","a","a","a","b","b"
"299","c","c","a","c","a"
"300","b","a","a","b","a"
"301","a","a","a","a","a"
"302","c","b","a","c","a"
"303","c","c","a","b","a"
"304","b","c","a","b","c"
"305","c","c","b","b","a"
"306","a","a","a","a","a"
"307","a","a","a","b","a"
"308","b","a","a","b","b"
"309","b","c","b","a","a"
"310","a","c","a","a","a"
"311","a","c","a","a","a"
"312","c","a","a","b","a"
"313","c","a","a","a","a"
"314","b","c","a","b","c"
"315","b","a","b","a","c"
"316","a","a","a","a","a"
"317","a","a","b","c","b"
"318","c","c","a","c","b"
"319","a","a","a","a","a"
"320","b","b","a","c","c"
"321","b","a","a","b","a"
"322","a","a","a","b","b"
"323","b","c","a","b","b"
"324","b","a","a","b","a"
"325","b","a","c","c","a"
"326","c","c","a","c","b"
"327","c","b","c","c","c"
"328","a","a","a","b","a"
"329","b","c","a","a","c"
"330","a","a","a","b","a"
"331","b","b","a","b","b"
"332","b","a","a","b","c"
"333","a","a","a","a","a"
"334","b","a","b","a","a"
"335","b","a","a","b","a"
"336","b","b","b","a","a"
"337","b","a","a","b","a"
"338","c","c","b","b","b"
"339","c","c","a","b","b"
"340","c","c","b","a","c"
"341","b","b","a","b","b"
"342","b","a","b","a","b"
"343","c","c","c","b","c"
"344","a","a","c","b","c"
"345","b","a","b","a","b"
"346","b","b","b","b","b"
"347","a","a","a","a","b"
"348","a","a","b","a","a"
"349","c","c","a","c","a"
"350","c","a","b","c","a"
"351","b","b","b","c","c"
"352","c","c","a","c","c"
"353","c","c","a","b","c"
"354","b","c","a","b","b"
"355","c","c","a","c","c"
"356","c","c","a","c","b"
"357","b","a","a","b","a"
"358","c","c","c","c","a"
"359","a","a","a","a","a"
"360","b","a","b","a","b"
"361","c","c","b","b","c"
"362","c","c","c","c","c"
"363","a","a","a","c","a"
"364","c","c","a","c","b"
"365","a","a","a","a","a"
"366","c","c","a","c","b"
"367","b","a","a","b","b"
"368","b","b","a","c","c"
"369","a","b","a","c","a"
"370","b","a","a","a","a"
"371","a","a","c","a","b"
"372","a","a","a","a","a"
"373","b","c","a","b","c"
"374","b","b","a","b","a"
"375","c","b","a","b","c"
"376","a","a","a","c","a"
"377","b","c","a","a","c"
"378","a","b","b","c","c"
"379","b","c","a","b","b"
"380","a","a","a","a","a"
"381","c","c","a","c","b"
"382","a","a","a","a","a"
"383","a","a","a","a","a"
"384","b","b","a","b","b"
"385","a","a","a","a","b"
"386","a","a","a","c","c"
"387","b","b","a","b","a"
"388","b","c","a","c","b"
"389","a","a","a","a","a"
"390","a","a","b","c","a"
"391","a","a","a","c","b"
"392","a","a","a","a","b"
"393","a","a","a","a","b"
"394","b","c","a","b","a"
"395","c","c","a","c","c"
"396","c","c","c","c","b"
"397","c","c","a","b","b"
"398","a","a","b","b","a"
"399","c","a","a","a","c"
"400","b","a","a","b","b"
"401","a","a","a","a","c"
"402","b","a","a","b","c"
"403","b","c","b","a","b"
"404","b","a","a","a","a"
"405","a","c","a","c","c"
"406","b","a","a","b","b"
"407","b","c","a","b","c"
"408","a","a","a","a","a"
"409","b","a","b","a","b"
"410","c","c","a","c","c"
"411","c","b","b","b","c"
"412","b","a","a","b","a"
"413","b","c","b","a","c"
"414","c","c","b","b","b"
"415","a","c","a","c","b"
"416","c","a","a","c","c"
"417","a","a","a","a","a"
"418","b","c","a","b","b"
"419","c","a","a","c","b"
"420","b","c","a","b","b"
"421","b","b","a","b","b"
"422","b","a","a","b","a"
"423","a","a","a","c","a"
"424","c","c","a","c","a"
"425","c","c","a","c","c"
"426","c","c","a","b","b"
"427","b","a","a","c","c"
"428","c","b","a","b","b"
"429","a","c","a","a","c"
"430","c","c","a","c","b"
"431","c","c","a","c","b"
"432","c","c","a","c","c"
"433","c","b","b","b","a"
"434","c","b","b","a","b"
"435","c","c","b","a","b"
"436","a","a","a","a","b"
"437","b","a","a","a","b"
"438","a","a","a","c","a"
"439","b","b","a","b","a"
"440","a","a","b","c","a"
"441","c","b","a","c","b"
"442","a","a","a","a","b"
"443","c","c","a","c","c"
"444","c","c","a","c","a"
"445","c","b","a","c","b"
"446","c","c","a","c","c"
"447","b","a","b","c","a"
"448","a","a","a","a","a"
"449","c","c","a","c","b"
"450","b","c","a","b","c"
"451","a","a","a","a","a"
"452","a","a","b","c","a"
"453","c","c","a","c","a"
"454","b","c","a","b","b"
"455","a","a","c","a","a"
"456","a","a","a","a","c"
"457","c","c","a","c","c"
"458","a","a","a","a","a"
"459","a","a","b","c","b"
"460","c","c","b","c","c"
"461","c","a","a","c","b"
"462","a","a","a","a","a"
"463","b","a","a","a","b"
"464","a","a","a","a","a"
"465","c","c","a","c","b"
"466","b","a","b","a","a"
"467","c","c","a","b","b"
"468","b","b","a","b","c"
"469","b","b","a","b","b"
"470","c","b","a","c","c"
"471","a","a","b","c","a"
"472","b","c","a","c","b"
"473","c","c","a","c","b"
"474","b","c","a","b","c"
"475","a","a","a","a","a"
"476","b","b","b","a","a"
"477","c","c","b","b","b"
"478","a","a","b","a","a"
"479","c","c","a","c","c"
"480","a","a","a","a","b"
"481","c","c","a","a","c"
"482","b","c","a","b","a"
"483","a","a","a","a","b"
"484","c","c","a","c","a"
"485","a","a","a","a","a"
"486","b","c","a","a","c"
"487","a","c","a","a","a"
"488","b","c","a","b","b"
"489","c","c","a","c","c"
"490","b","c","a","a","c"
"491","a","a","a","a","b"
"492","b","b","a","b","b"
"493","a","a","c","a","a"
"494","b","a","a","b","b"
"495","b","b","a","b","c"
"496","c","c","a","c","c"
"497","a","a","a","a","a"
"498","c","c","b","b","c"
"499","b","c","a","a","a"
"500","c","c","a","c","c"
"501","c","c","b","b","c"
"502","c","c","a","b","c"
"503","b","c","b","a","c"
"504","a","a","a","a","b"
"505","a","a","a","a","b"
"506","a","a","a","a","a"
"507","b","c","a","b","b"
"508","c","c","b","c","c"
"509","b","b","a","b","a"
"510","b","c","b","a","c"
"511","a","a","a","a","a"
"512","a","a","a","a","a"
"513","c","c","a","c","c"
"514","b","b","a","c","c"
"515","c","b","a","c","b"
"516","c","c","a","b","c"
"517","b","a","a","b","a"
"518","a","c","a","a","c"
"519","a","a","a","a","a"
"520","c","c","a","a","c"
"521","b","a","b","a","b"
"522","a","a","a","c","a"
"523","b","a","a","b","a"
"524","c","a","a","c","a"
"525","b","a","a","b","a"
"526","b","c","a","b","c"
"527","a","a","a","c","a"
"528","b","b","a","b","c"
"529","c","c","a","b","c"
"530","a","a","a","c","a"
"531","c","b","a","c","c"
"532","a","a","a","a","c"
"533","b","c","a","b","c"
"534","b","a","a","b","c"
"535","c","c","a","c","c"
"536","c","c","a","a","b"
"537","b","c","a","b","c"
"538","c","a","a","b","b"
"539","a","c","a","a","b"
"540","c","c","b","a","b"
"541","c","a","c","c","a"
"542","a","a","b","c","a"
"543","b","c","a","c","c"
"544","a","a","a","a","b"
"545","c","c","a","c","c"
"546","a","a","a","a","a"
"547","b","c","a","b","b"
"548","b","a","a","b","a"
"549","b","b","b","a","b"
"550","c","c","a","c","c"
"551","b","a","a","b","c"
"552","c","c","c","b","c"
"553","c","c","a","c","a"
"554","c","c","a","c","c"
"555","c","c","a","c","b"
"556","a","a","a","a","a"
"557","c","c","b","b","c"
"558","a","a","a","a","a"
"559","a","a","a","a","a"
"560","c","c","b","c","c"
"561","b","a","a","c","a"
"562","c","a","a","a","a"
"563","c","c","a","c","a"
"564","b","c","a","c","b"
"565","a","a","a","c","a"
"566","a","a","a","a","a"
"567","a","a","a","a","a"
"568","b","c","b","a","a"
"569","b","c","c","a","c"
"570","c","c","a","c","c"
"571","a","a","b","c","b"
"572","b","a","b","a","a"
"573","c","c","a","c","c"
"574","c","c","b","b","b"
"575","b","c","a","b","c"
"576","c","c","a","c","c"
"577","a","a","a","a","a"
"578","a","a","a","a","a"
"579","b","a","a","b","a"
"580","a","a","a","a","a"
"581","c","c","a","b","b"
"582","a","a","a","a","b"
"583","c","b","a","c","c"
"584","b","a","a","b","a"
"585","b","c","a","b","c"
"586","b","c","a","b","b"
"587","b","b","a","c","c"
"588","a","a","a","a","a"
"589","a","a","c","a","a"
"590","c","a","a","c","a"
"591","a","a","a","b","b"
"592","a","c","a","c","b"
"593","c","c","a","b","b"
"594","c","c","a","c","a"
"595","b","a","a","b","a"
"596","b","c","a","b","b"
"597","b","a","a","b","b"
"598","c","c","a","c","c"
"599","a","a","a","a","a"
"600","b","b","a","b","a"
"601","b","a","b","a","a"
"602","c","c","a","c","c"
"603","c","c","a","c","c"
"604","c","c","a","c","c"
"605","c","c","a","c","a"
"606","b","a","a","b","b"
"607","b","c","a","b","a"
"608","b","c","a","b","a"
"609","a","a","a","a","b"
"610","a","a","b","b","b"
"611","c","c","a","c","b"
"612","b","c","b","c","c"
"613","c","a","a","c","a"
"614","b","a","a","b","a"
"615","a","a","a","a","a"
"616","c","b","a","c","a"
"617","c","c","b","b","b"
"618","c","c","a","c","b"
"619","b","c","a","b","b"
"620","c","c","a","c","c"
"621","c","c","a","c","c"
"622","a","a","a","b","a"
"623","b","a","a","b","a"
"624","a","a","a","a","a"
"625","c","c","a","c","c"
"626","b","a","a","b","b"
"627","a","c","b","c","c"
"628","b","a","a","a","c"
"629","c","c","a","c","c"
"630","a","a","a","a","a"
"631","c","c","b","c","c"
"632","a","a","a","a","a"
"633","b","c","a","b","a"
"634","c","c","a","c","c"
"635","a","a","a","a","a"
"636","a","a","a","a","b"
"637","a","a","a","a","a"
"638","a","a","a","c","a"
"639","c","c","a","c","c"
"640","b","a","c","c","b"
"641","a","c","a","a","b"
"642","c","c","b","b","b"
"643","b","b","a","b","c"
"644","c","c","a","c","b"
"645","b","b","a","b","b"
"646","a","a","a","c","b"
"647","c","c","a","c","b"
"648","a","a","a","a","c"
"649","a","a","a","a","a"
"650","c","b","b","b","c"
"651","b","b","b","a","b"
"652","a","a","a","a","a"
"653","a","a","a","a","a"
"654","b","a","a","b","b"
"655","b","a","a","b","a"
"656","b","c","a","b","c"
"657","a","a","b","c","b"
"658","b","c","a","b","c"
"659","b","c","a","c","c"
"660","a","c","a","a","c"
"661","c","a","b","b","c"
"662","c","c","a","a","b"
"663","c","c","b","b","c"
"664","c","c","a","c","c"
"665","b","a","c","c","a"
"666","b","c","a","b","c"
"667","c","c","a","c","a"
"668","b","a","a","b","b"
"669","b","c","a","b","b"
"670","a","a","a","a","c"
"671","a","a","a","a","c"
"672","a","a","a","a","a"
"673","c","c","a","c","c"
"674","b","c","a","b","b"
"675","b","b","a","b","a"
"676","a","a","a","a","a"
"677","a","a","b","c","b"
"678","a","a","b","a","b"
"679","c","b","a","c","c"
"680","c","c","a","c","c"
"681","b","a","a","b","a"
"682","a","b","a","a","b"
"683","a","a","a","a","a"
"684","a","a","a","a","b"
"685","b","a","a","b","a"
"686","b","c","a","a","c"
"687","b","a","a","a","a"
"688","a","a","a","a","a"
"689","a","a","a","a","a"
"690","c","c","a","c","b"
"691","a","a","a","a","a"
"692","b","a","a","b","a"
"693","c","c","a","b","c"
"694","c","c","a","c","c"
"695","c","c","b","a","c"
"696","a","c","a","a","c"
"697","a","a","a","a","b"
"698","c","a","a","c","a"
"699","c","a","a","c","a"
"700","a","a","b","a","a"
"701","a","a","b","a","a"
"702","b","a","a","b","a"
"703","b","a","a","b","b"
"704","a","a","a","a","b"
"705","a","a","a","a","a"
"706","c","c","a","c","b"
"707","c","c","a","c","c"
"708","a","a","a","a","a"
"709","b","c","a","b","c"
"710","b","a","a","b","b"
"711","a","a","a","a","a"
"712","b","c","a","b","c"
"713","b","a","a","b","b"
"714","a","a","a","b","a"
"715","b","a","a","b","a"
"716","b","a","a","b","a"
"717","a","a","a","a","a"
"718","c","c","a","c","c"
"719","a","a","a","a","a"
"720","a","c","a","a","c"
"721","a","a","a","a","b"
"722","b","a","a","b","a"
"723","b","a","a","a","a"
"724","c","a","a","a","a"
"725","a","a","a","a","a"
"726","a","a","a","a","a"
"727","a","a","a","b","a"
"728","c","b","a","c","b"
"729","c","c","a","c","c"
"730","b","c","a","b","a"
"731","b","a","a","b","a"
"732","a","a","a","a","a"
"733","b","a","a","b","b"
"734","a","c","a","a","a"
"735","c","c","a","c","b"
"736","a","a","a","b","c"
"737","a","a","b","c","b"
"738","b","a","a","b","a"
"739","b","c","a","b","b"
"740","a","a","b","a","a"
"741","c","c","a","c","c"
"742","a","c","a","a","b"
"743","a","a","b","c","a"
"744","a","a","a","c","a"
"745","b","c","b","a","c"
"746","c","c","a","c","b"
"747","c","a","a","c","c"
"748","b","b","a","c","a"
"749","a","a","b","a","a"
"750","c","a","a","c","a"
"751","b","c","a","b","b"
"752","b","b","b","a","b"
"753","b","c","a","b","a"
"754","b","a","a","b","a"
"755","b","a","b","a","a"
"756","c","a","b","a","a"
"757","b","a","a","c","a"
"758","c","c","a","c","c"
"759","b","c","a","b","b"
"760","b","c","a","b","a"
"761","c","c","b","b","b"
"762","a","a","a","b","a"
"763","c","c","a","c","c"
"764","c","c","a","c","c"
"765","b","b","c","c","a"
"766","b","b","a","b","a"
"767","a","a","a","a","a"
"768","a","a","a","a","a"
"769","a","a","a","a","b"
"770","a","a","b","a","a"
"771","a","a","a","b","a"
"772","b","c","a","b","c"
"773","c","c","a","c","b"
"774","c","c","b","b","b"
"775","a","a","a","a","b"
"776","c","c","a","c","c"
"777","c","c","a","c","b"
"778","c","c","a","c","c"
"779","b","a","a","b","c"
"780","a","a","a","a","a"
"781","a","a","a","a","a"
"782","a","a","a","a","a"
"783","a","a","a","a","a"
"784","b","c","a","a","a"
"785","a","a","a","b","a"
"786","c","c","a","b","c"
"787","a","a","b","a","a"
"788","b","c","a","b","b"
"789","c","a","b","c","a"
"790","c","c","a","c","c"
"791","c","b","b","b","a"
"792","c","c","a","c","c"
"793","b","c","b","a","a"
"794","b","c","a","a","b"
"795","a","a","a","b","b"
"796","a","a","a","a","a"
"797","b","a","a","b","a"
"798","b","a","b","c","a"
"799","a","a","b","c","b"
"800","c","a","b","a","b"
"801","b","a","a","b","a"
"802","b","b","b","a","a"
"803","c","c","c","c","b"
"804","a","a","a","a","a"
"805","c","c","a","a","c"
"806","c","c","a","c","b"
"807","c","c","a","c","b"
"808","b","b","a","b","c"
"809","a","a","a","a","a"
"810","a","a","a","a","a"
"811","b","c","a","b","b"
"812","b","a","a","b","a"
"813","c","c","a","c","c"
"814","a","a","b","c","a"
"815","b","b","c","b","c"
"816","a","a","a","a","a"
"817","c","b","a","c","c"
"818","a","a","b","c","a"
"819","b","a","a","b","a"
"820","b","a","a","b","a"
"821","a","a","a","a","b"
"822","c","c","a","c","b"
"823","b","a","b","a","a"
"824","c","c","b","a","b"
"825","a","a","a","a","c"
"826","c","c","b","b","c"
"827","a","a","a","a","a"
"828","a","a","a","a","a"
"829","c","c","a","c","a"
"830","b","a","a","b","b"
"831","b","a","b","a","a"
"832","a","a","b","c","a"
"833","c","c","b","b","b"
"834","b","c","a","b","a"
"835","c","c","b","b","c"
"836","a","a","a","a","a"
"837","c","b","a","a","b"
"838","c","c","a","c","a"
"839","a","a","a","a","a"
"840","a","a","b","c","b"
"841","c","c","a","c","b"
"842","b","b","a","a","b"
"843","a","a","a","b","a"
"844","a","a","a","a","a"
"845","c","c","a","c","c"
"846","c","b","a","c","c"
"847","a","a","a","a","b"
"848","a","a","a","a","a"
"849","b","a","a","b","a"
"850","c","c","a","c","b"
"851","a","a","a","c","a"
"852","a","a","a","c","b"
"853","c","c","a","c","c"
"854","c","c","c","b","b"
"855","c","b","a","c","c"
"856","b","c","a","b","c"
"857","b","c","a","b","a"
"858","a","a","a","a","b"
"859","c","c","a","b","c"
"860","c","c","c","c","c"
"861","b","a","a","b","a"
"862","b","a","a","b","a"
"863","c","c","a","c","b"
"864","c","a","a","c","b"
"865","b","b","b","a","c"
"866","c","c","a","c","c"
"867","a","a","a","a","a"
"868","b","a","a","b","b"
"869","b","b","b","a","c"
"870","a","a","a","b","c"
"871","c","c","a","c","a"
"872","a","a","a","a","a"
"873","c","c","a","c","a"
"874","b","c","a","b","a"
"875","b","c","c","c","c"
"876","c","c","b","b","c"
"877","c","a","a","c","c"
"878","c","c","b","a","b"
"879","b","c","a","b","b"
"880","c","a","a","b","a"
"881","c","c","a","c","b"
"882","c","c","a","c","c"
"883","b","c","a","b","b"
"884","b","c","b","a","a"
"885","a","a","a","a","b"
"886","b","a","c","b","a"
"887","b","b","b","a","c"
"888","b","c","a","b","c"
"889","c","c","a","c","c"
"890","b","c","b","a","c"
"891","a","a","a","a","b"
"892","a","a","a","a","b"
"893","b","b","b","a","a"
"894","a","a","c","c","a"
"895","c","b","a","c","c"
"896","a","a","a","a","b"
"897","a","c","a","a","c"
"898","a","a","a","a","a"
"899","c","c","a","c","b"
"900","c","c","a","c","a"
"901","c","b","a","c","c"
"902","c","c","a","c","c"
"903","b","b","b","a","c"
"904","a","a","b","c","a"
"905","c","b","a","c","c"
"906","a","a","a","b","b"
"907","b","c","c","b","c"
"908","a","a","a","b","a"
"909","c","c","a","c","c"
"910","b","c","a","b","b"
"911","c","c","a","c","b"
"912","a","a","a","a","b"
"913","c","c","a","b","b"
"914","b","b","a","b","c"
"915","a","a","a","a","a"
"916","c","c","a","c","a"
"917","b","c","b","a","b"
"918","c","c","a","c","c"
"919","b","a","a","b","a"
"920","c","c","a","c","a"
"921","c","c","a","c","c"
"922","b","c","b","b","c"
"923","c","c","a","a","c"
"924","b","a","a","b","a"
"925","c","c","a","c","b"
"926","b","a","b","a","a"
"927","a","a","b","a","c"
"928","c","c","b","c","b"
"929","c","c","a","c","c"
"930","a","a","a","a","a"
"931","a","a","a","a","b"
"932","a","a","c","c","a"
"933","c","c","b","c","b"
"934","c","c","a","c","b"
"935","b","b","b","a","a"
"936","b","b","a","b","c"
"937","b","a","a","a","b"
"938","b","a","a","b","a"
"939","b","a","a","b","b"
"940","c","c","b","b","c"
"941","b","a","a","a","a"
"942","c","c","a","c","b"
"943","c","b","b","b","a"
"944","a","a","a","b","a"
"945","b","c","a","b","b"
"946","b","b","a","a","b"
"947","b","b","a","b","b"
"948","a","a","a","a","b"
"949","c","c","a","c","a"
"950","b","b","a","c","c"
"951","a","a","a","a","a"
"952","b","c","a","c","c"
"953","c","c","a","c","b"
"954","b","a","a","a","b"
"955","c","c","b","a","c"
"956","c","a","a","c","b"
"957","c","c","a","c","b"
"958","c","c","a","a","b"
"959","c","b","a","c","c"
"960","a","a","a","a","b"
"961","b","c","a","a","b"
"962","b","a","a","b","b"
"963","c","c","a","c","c"
"964","b","c","a","b","b"
"965","a","a","b","c","a"
"966","a","b","a","a","c"
"967","c","b","a","c","a"
"968","b","b","b","a","c"
"969","b","b","a","b","a"
"970","c","c","a","c","a"
"971","b","a","a","a","a"
"972","c","c","a","c","c"
"973","a","c","a","c","c"
"974","a","a","a","a","a"
"975","a","a","a","a","c"
"976","c","c","a","c","a"
"977","b","a","a","b","b"
"978","c","c","a","c","b"
"979","b","a","a","b","a"
"980","a","a","a","c","a"
"981","c","c","a","c","b"
"982","b","b","b","a","b"
"983","c","c","a","c","a"
"984","b","b","a","b","c"
"985","a","a","a","a","b"
"986","c","b","a","a","c"
"987","b","c","b","a","b"
"988","a","a","a","a","b"
"989","a","a","a","a","a"
"990","b","b","a","b","c"
"991","b","b","b","a","c"
"992","a","c","a","a","a"
"993","b","a","a","b","a"
"994","c","c","a","c","c"
"995","c","c","a","c","c"
"996","a","a","a","a","c"
"997","b","c","a","c","c"
"998","a","a","a","c","b"
